Rk,Player,Pos,Age,Tm,G,MP,PER,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,,%Game,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Salary
493,P.J. Tucker,PF,35,MIL,20,397,5.7,0.717,0.109,0.2,0.3,0.5,0.065,-3,-0.2,-3.2,-0.1,,0.2,0.539,4.9,9.7,7.4,4.6,1.2,0.4,12.7,5.8,92857
494,Rayjon Tucker,PG,23,PHI,14,68,15.1,0.389,1.056,0.1,0.1,0.2,0.166,-3.5,-0.5,-4,0,,1,0.645,1.6,15.9,8.9,12.2,1.4,0,13.2,19.2,86132
495,Myles Turner,C,24,IND,47,1455,15.3,0.477,0.329,1.1,2.2,3.3,0.11,-1.3,1.7,0.4,0.9,,1,0.599,4.7,18,11.4,4.4,1.3,8.8,11.9,16.4,61528
496,Jonas Valančiūnas,C,28,MEM,62,1755,24.4,0.077,0.273,5.1,2.6,7.8,0.213,3.1,-0.4,2.7,2.1,,1,0.636,15.1,31.9,23.4,10,1,2.9,10.7,22.4,58452
497,Denzel Valentine,SG,27,CHI,62,1036,10.1,0.582,0.041,-0.4,1.1,0.7,0.032,-2.1,-0.8,-2.9,-0.3,,1,0.479,2.6,18.3,10.5,14,1.4,0.6,9,19.5,50000
498,Jarred Vanderbilt,PF,21,MIN,64,1139,16.2,0.021,0.432,1.6,1.5,3.1,0.132,-1.6,1,-0.6,0.4,,1,0.612,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,49222
499,Fred VanVleet,SG,26,TOR,52,1899,16.8,0.547,0.22,2.4,1.8,4.3,0.108,2.3,-0.1,2.2,2,,1,0.534,1.8,11.3,6.4,26.7,2.2,2,9.1,23.9,43070
500,Anderson Varejão,C,38,CLE,5,36,12.9,0.063,0.563,-0.1,0,0,-0.029,-4,-2.2,-6.2,0,,1,0.326,21.3,41.4,31.1,12.2,0,5,4.8,25.4,39989
501,Devin Vassell,SF,20,SAS,62,1056,10.6,0.495,0.168,0.4,1.1,1.5,0.069,-2.5,0.6,-1.9,0.1,,1,0.524,2.4,15.4,8.8,7.1,2,1.4,6.3,14.3,25000
502,Gabe Vincent,PG,24,MIA,50,655,7.6,0.639,0.099,-0.4,0.5,0.2,0.011,-4.6,-1.1,-5.7,-0.6,,1,0.498,1.8,7.9,4.9,15.1,1.6,0.3,12.3,19.1,25000
503,Noah Vonleh,PF,25,BRK,4,11,-19,0.667,0,-0.1,0,-0.1,-0.488,-20.9,-8.9,-29.9,-0.1,,1,0,0,9.6,5,10.2,0,0,40,19.8,24611
504,Nikola Vučević,C,30,TOT,70,2348,22.9,0.315,0.112,3.3,3,6.3,0.129,4.9,0.2,5.1,4.2,,0.5,0.56,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,18458
504,Nikola Vučević,C,30,ORL,44,1500,23.5,0.317,0.121,2.1,1.8,3.9,0.125,5.5,0.1,5.6,2.9,,0.3,0.565,5.8,30.8,17.9,22.1,1.4,1.7,8,29.9,18458
504,Nikola Vučević,C,30,CHI,26,848,21.8,0.311,0.094,1.2,1.2,2.4,0.137,4,0.2,4.2,1.3,,0.2,0.55,7.8,31.2,19.6,20,1.3,2.1,7.8,28.2,489148
505,Dean Wade,PF,24,CLE,63,1212,11.3,0.685,0.125,1.1,0.9,2,0.08,-1,-0.2,-1.2,0.2,,1,0.573,3.4,16.8,9.9,8.9,1.4,1.5,8.4,12.9,470690
506,Moritz Wagner,C,23,TOT,45,722,12.5,0.397,0.38,0.5,0.8,1.2,0.082,-2.7,0,-2.7,-0.1,,0.5,0.58,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,470690
506,Moritz Wagner,C,23,WAS,25,375,15.4,0.344,0.426,0.5,0.5,1,0.134,-1.1,0.9,-0.2,0.2,,0.3,0.614,3.7,16.9,10.3,11.7,2.7,1.8,12.7,18.3,459414
